group_slug,group_title,query,rank,title,url,domain,score,content,is_probably_paper
b3_trajectory_alignment,B3 — 轨迹推断与细胞状态对齐 (Trajectory Inference & Cell State Alignment),trajectory inference single-cell optimal transport Waddington ICML NeurIPS 2024 2025,4,[PDF] Generative Reconstruction of Unobserved Cellular Dynamics using ...,https://www.biorxiv.org/content/10.64898/2025.12.29.696948v1.full.pdf,www.biorxiv.org,0.99979335,"GRAIL represents a new paradigm for single-cell trajectory inference, uniting deep generative modeling with pseudotem- poral analysis to overcome the",False
b3_trajectory_alignment,B3 — 轨迹推断与细胞状态对齐 (Trajectory Inference & Cell State Alignment),trajectory inference single-cell optimal transport Waddington ICML NeurIPS 2024 2025,5,[PDF] Joint Velocity-Growth Flow Matching for Single-Cell Dynamics ...,https://openreview.net/pdf/9f11dcc1529f78a8688417612e15793796038b39.pdf,openreview.net,0.99974877,"3 Method Given the snapshot population of single cells, this paper aims to build the dynamic trajectory of single cells. Considering the unbalancedness between snapshot populations due to the undergo cell proliferation or death, we aim to build a model that can transform between unbalanced distributions by jointly learning a velocity field for controlling state transition and a growth function for controlling mass variation. Towards this goal, we propose joint Velocity-Growth Flow Matching (VGFM) based on semi-relaxed optimal transport to learn the dynamics of single cells. As illustrated in Fig. 2, we first present a decoupled understanding of state transition and mass growth for unbalanced dynamics based on semi-relaxed optimal transport (Figs. 2 (a), (b)), upon which we build a dynamic [...] Zhenyi Zhang, Tiejun Li, and Peijie Zhou. Learning stochastic dynamics from snapshots through regularized unbalanced optimal transport. In ICLR, 2025.
 Xi Zhang, Yuan Pu, Yuki Kawamura, Andrew Loza, Yoshua Bengio, Dennis Shung, and Alexander Tong. Trajectory flow matching with applications to clinical time series modelling.
In NeurIPS, 2024.
 Anming Gu, Edward Chien, and Kristjan Greenewald. Partially observed trajectory inference using optimal transport and a dynamics prior. In ICLR, 2025.
 Martin Rohbeck, Charlotte Bunne, Edward De Brouwer, Jan-Christian Huetter, Anne Biton, Kelvin Y. Chen, Aviv Regev, and Romain Lopez. Modeling complex system dynamics with flow matching across time and conditions. In ICLR, 2025. [...] Dynamic understanding of semi-relaxed optimal transport.",True
b2_multimodal_integration,B2 — 多模态单细胞数据整合 (Multi-Modal & Cross-Assay Integration),single-cell multi-omics alignment optimal transport manifold 2024 2025 bioinformatics,4,CelLink: integrating single-cell multi-omics data with weak feature ...,https://academic.oup.com/nar/article/53/22/gkaf1270/8363852,academic.oup.com,0.9997284,"Abstract. Single-cell multi-omics technologies capture complementary molecular layers, enabling a comprehensive view of cellular states and functions. Howe.",True
b3_trajectory_alignment,B3 — 轨迹推断与细胞状态对齐 (Trajectory Inference & Cell State Alignment),cell state alignment trajectory smoothing geometric learning 2024 2025,1,Geometry-preserving vector field reconstruction of high-dimensional cell-state dynamics using ddHodge | Nature Communications,https://www.nature.com/articles/s41467-025-67782-6,www.nature.com,0.99965405,"trajectory analyses of cell fate conceptualized by the epigenetic landscape. Additionally, we identified genes that influence the stability of the cell state. [...] of the tangent spaces. We also considered smoothing (regularization) along the curved axes on the data manifold. In the smoothing process, the axes of adjacent tangent spaces should be matched (Fig. 3A, middle; xu and xv, yu and yv); therefore, using idea of parallel transport in differential geometry20.""),24.""),25.""), we developed a method for designing near-parallel coordinate axes for high-dimensional data using a discrete connection Laplacian (sheaf Laplacian)25.""),26.""),27.""),28."") (Fig. 3A, bottom; Supplementary Notes). [...] Next, using velocities sampled from the artificial dynamics simulated on a sphere (Methods), we reconstructed the dynamics with smoothing on the data manifold (Fig. 3C). The potential and divergence were reconstructed with peaks at the east and west ends of the sphere, and the curl was concentrated at the north and south ends, reproducing values approximately identical to the theoretical values (Fig. 3C; inset images, MSEs: 1.0 × 10−3, 4.0 × 10−4, and 1.0 × 10−3, respectively). We further verified the importance of the subspace alignment procedure using an asymmetric saddle-shaped potential example (Supplementary Figure S3). While smoothing results with unaligned axes significantly deviate from theoretical values of the Hessian matrix, subspace alignment using the sheaf Laplacian enables",False
b3_trajectory_alignment,B3 — 轨迹推断与细胞状态对齐 (Trajectory Inference & Cell State Alignment),cell state alignment trajectory smoothing geometric learning 2024 2025,2,Revealing a coherent cell-state landscape across single ... - Nature,https://www.nature.com/articles/s41587-025-02950-z,www.nature.com,0.9996111,"Single-cell studies often involve continuous state transitions sampled across different conditions, where cell states may only partially overlap. Methods that make explicit assumptions about the data structure—such as requiring matched clusters—often fail in these scenarios and produce distorted embeddings. We systematically tested this by simulating batch effects on trajectories, loops and trees with varying degrees of state overlap (Fig. 3b–d and Extended Data Fig. 3c,d). Many competing methods exhibited poor alignment and introduced artificial structures. In contrast, both CONCORD variants consistently recovered the correct topology with reduced noise, even when the overlap between batches was minimal. [...] and Betti curves) are shown for each method. The H0 point at infinity was excluded from the persistence diagram and curve. d, Performance on a complex trajectory with three loops, highlighting the same diagnostic plots as in c. e,f, Summary of key geometric and topological performance metrics for the cluster simulation (e) and the complex trajectory simulation (f). g, kNN graph visualization of the latent spaces from a complex-tree simulation, with zoomed-in views of the highlighted branch. [...] a, Two-batch, five-cluster simulation with imbalanced batch sizes. Heat maps show the noise-free ground truth and the input data with noise and batch effects. Latent spaces from each method are visualized by UMAPs, colored by batch. Full cluster simulation results are in Extended Data Fig. 3a,b. ‘Contrastive’ refers to naïve contrastive learning that uses the same encoder architecture and objective as CONCORD but with uniform sampling. b, Trajectory simulation with varying degrees of state overlap between batches. The input structure is shown by a heat map and PCA. For each method, the latent space is visualized by a kNN graph (k = 15) colored by simulated time to assess cross-batch integration along the trajectory. c, Loop simulation with varying degrees of state overlap between batches.",False
b3_trajectory_alignment,B3 — 轨迹推断与细胞状态对齐 (Trajectory Inference & Cell State Alignment),trajectory inference single-cell optimal transport Waddington ICML NeurIPS 2024 2025,6,Generative models of cell dynamics: from Neural ODEs to flow matching | Communications Biology,https://www.nature.com/articles/s42003-026-09758-w,www.nature.com,0.9995453,"the temporal axis serves as a modeling construct for population dynamics26.""). Therefore, optimal transport (OT) methods are well suited when discrete time-point data are available as snapshots of cell populations. In pursuing real-time dynamics inference, utilizing discrete OT to deduce the cell state transitions across distinct time points is a promising approach18.""),48.""),49.""),50.""). In this scenario, Waddington-OT48."") infers ancestor-descendant fates and modeling regulatory programs, revealing a diverse range of developmental programs from single-cell RNA sequencing profiles. Moslin49."") couples matching cellular profiles across time points by leveraging both lineage relations and gene expression similarity, Moscot18."") is a scalable framework for optimal transport in single-cell [...] The concept of trajectory inference is one of the earliest applications of Neural ODEs in single-cell genomics15.""),30. Available at SSRN 4330809 LatentVelo leverages deep learning to compute low-dimensional gene dynamics, embedding cells in a dynamics-based latent space via a variational autoencoder and modeling differentiation with neural ordinary differential equations, enabling accurate prediction of cell trajectories and superior batch correction by focusing on gene expression dynamics.""),44. TrajectoryNet leverages the integration of continuous normalizing flows with dynamic optimal transport to model continuous, non-linear paths in dynamic systems, overcoming the limitations of static optimal transport models by constraining the flow of entities between distributions, showcasing [...] 54. Huguet, G. et al. Manifold interpolating optimal-transport flows for trajectory inference. In Advances in Neural Information Processing Systems. Vol. 35, (eds Koyejo, S. et al.) 29705–29718 (Curran Associates, Inc., 2022). MIOFlow introduces a novel integration of dynamic models, manifold learning, and optimal transport through Neural ODEs and a geodesic autoencoder, offering superior interpolation between static population snapshots by embedding data in a geometry-aware latent space, outperforming existing generative models in capturing continuous population dynamics.",False
b1_sc_qc_noise,B1 — 单细胞数据质控: 噪声建模与稀疏数据处理 (QC: Noise & Sparsity Modeling),scVelo RNA velocity statistical model trajectory inference theory 2024 2025,4,Benchmarking RNA velocity methods across 17 independent studies,https://www.biorxiv.org/content/10.1101/2025.08.02.668272v1.full-text,www.biorxiv.org,0.9995272,Abstract. RNA velocity techniques offer great potential for unveiling trajectories of cell state transitions in different biological contexts.,False
b1_sc_qc_noise,B1 — 单细胞数据质控: 噪声建模与稀疏数据处理 (QC: Noise & Sparsity Modeling),scVelo RNA velocity statistical model trajectory inference theory 2024 2025,5,Benchmarking algorithms for RNA velocity inference - bioRxiv,https://www.biorxiv.org/content/10.64898/2026.01.03.697314v1.full-text,www.biorxiv.org,0.99950826,"RNA velocity is a computational framework for single-cell RNA sequencing (scRNA-seq) that estimates the future transcriptional state of individual cells,",False
b1_sc_qc_noise,B1 — 单细胞数据质控: 噪声建模与稀疏数据处理 (QC: Noise & Sparsity Modeling),scVelo RNA velocity statistical model trajectory inference theory 2024 2025,6,Artificial Intelligence Revolution in Transcriptomics: From Single Cells to Spatial Atlases - PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC12850002/,pmc.ncbi.nlm.nih.gov,0.9994887,"A pivotal concept for trajectory inference is RNA velocity, which infers cell's future state from its spliced and unspliced mRNA counts. Deep learning significantly enhances RNA velocity analysis. DeepVelo, for instance, extends RNA velocity to complex, multi‐lineage systems where traditional methods (e.g., Velocyto, scVelo) often fail.  [112  ] For more reliable analysis, veloVI provides VAE‐based framework that not only estimates velocities but also quantifies transcriptome‐wide uncertainty for inferred dynamics.  [115  ] [...] Collectively, these developments have advanced TI from simple pseudo temporal ordering toward more mechanistic modeling based on diverse principles (Table  1 ). DeepVelo extends RNA velocity to complex multi‐lineage systems, while subsequent approaches employ diverse deep learning architectures—including VAEs (scTour  [116  ]) and optimal transport‐based methods (TrajectoryNet  [120  ])—to infer celluar dynamics directly.  [112  ] More recently, gene‐centric methods such as GeneTrajectory  [118  ] trace trajectories of gene programs rather than cells, disentangling overlapping process. Together, these models illustrate a progression toward predictive models of cellular dynamics.

#### Table 1.

Comparison of major AI‐driven trajectory inference paradigms. [...] | DeepVelo  [112  ] | Trajectory Inference and Pseudotime Analysis | Deep Learning Framework | Self‐supervised | Extends RNA velocity analysis to complex, multi‐lineage systems where traditional methods often fail. | Input: omics  Data scale: 104 cells  Evaluation metrics: Consistency Score: 0.9 |
| GPTCelltype  [113  ] | Cell annotation | Large Language Model (GPT‐4) | Self‐supervised | Demonstrates that large models can accurately infer cell types simply by interpreting lists of marker genes, automating the process. | Input: omics  Data scale: 105 cells  Evaluation metrics: Accuracy: 0.75–0.93 |",True
b2_multimodal_integration,B2 — 多模态单细胞数据整合 (Multi-Modal & Cross-Assay Integration),single-cell multi-omics alignment optimal transport manifold 2024 2025 bioinformatics,5,scMODAL: a general deep learning framework for comprehensive ...,https://www.nature.com/articles/s41467-025-60333-z,www.nature.com,0.9994887,"challenges, we introduce scMODAL, a deep learning framework tailored for single-cell multi-omics data alignment using feature links. scMODAL integrates datasets with limited known positively correlated features, leveraging neural networks and generative adversarial networks to align cell embeddings and preserve feature topology. Our experiments demonstrate scMODAL’s effectiveness in removing unwanted variation, preserving biological information, and accurately identifying cell subpopulations across diverse datasets. scMODAL not only advances integration tasks but also supports downstream analyses such as feature imputation and feature relationship inference, offering a robust solution for advancing single-cell multi-omics research. [...] Here, we present scMODAL, a general deep learning framework for single-cell multi-omics data alignment with feature links. scMODAL is designed to integrate unpaired datasets with limited numbers of known positively correlated features, which are also referred as “linked” features in the literature27.""). To capture complex relationship between different modalities, we build neural networks to project different single-cell datasets into a common low-dimensional latent space and apply generative adversarial networks (GANs)31."") to align cell embeddings. To accurately find cell population correspondence across datasets, scMODAL utilizes prior information from known linked features to identify anchor cell pairs that can guide integration, while preserving topology structure of all input [...] ## Discussion

In this study, we introduced scMODAL, a novel deep learning framework designed for the integration of single-cell multi-omics data, specifically addressing the challenges associated with datasets that have limited numbers of known correlated features. Our results demonstrate that scMODAL effectively aligns cell embeddings across different modalities, preserves the biological variation, and accurately identifies cell subpopulations. Moreover, scMODAL excels in tasks such as cross-modality feature imputation and inferring feature relationships, which are critical for understanding the underlying cellular processes.",False
b1_sc_qc_noise,B1 — 单细胞数据质控: 噪声建模与稀疏数据处理 (QC: Noise & Sparsity Modeling),scVelo RNA velocity statistical model trajectory inference theory 2024 2025,7,GraphVelo allows for accurate inference of multimodal velocities ...,https://www.nature.com/articles/s41467-025-62784-w,www.nature.com,0.99942964,"Here, we present GraphVelo, a graph-based machine learning procedure that uses as input the RNA velocities inferred from existing methods and infers velocity",False
b1_sc_qc_noise,B1 — 单细胞数据质控: 噪声建模与稀疏数据处理 (QC: Noise & Sparsity Modeling),scVelo RNA velocity statistical model trajectory inference theory 2024 2025,8,"Inferring differential dynamics from multi-lineage, multi-omic, and ...",https://www.nature.com/articles/s41467-025-66287-6,www.nature.com,0.9993333,These first RNA velocity inference methods have inherent limitations: each gene is modeled on a separate time scale; gene expression is modeled as a discrete on,False
b2_multimodal_integration,B2 — 多模态单细胞数据整合 (Multi-Modal & Cross-Assay Integration),single-cell multi-omics alignment optimal transport manifold 2024 2025 bioinformatics,6,Guided co-clustering transfer across unpaired and paired single-cell ...,https://academic.oup.com/bioinformatics/article/41/12/btaf639/8362267,academic.oup.com,0.9992563,"Single-cell multi-omics technologies enable the simultaneous profiling of gene expression and chromatin accessibility, providing complementary insights into",True
b3_trajectory_alignment,B3 — 轨迹推断与细胞状态对齐 (Trajectory Inference & Cell State Alignment),single-cell flow estimation optimal transport developmental biology 2024 2025,5,Modeling Microenvironment Trajectories on Spatial Transcriptomics ...,https://neurips.cc/virtual/2025/poster/119831,neurips.cc,0.99918956,"using optimal transport and Variational Flow Matching. Our approach successfully recovers both global spatial architecture and local microenvironment composition across diverse spatiotemporal datasets, from embryonic to brain development. [...] Understanding the evolution of cellular microenvironments in spatiotemporal data is essential for deciphering tissue development and disease progression. While experimental techniques like spatial transcriptomics now enable high-resolution mapping of tissue organization across space and time, current methods that model cellular evolution operate at the single-cell level, overlooking the coordinated development of cellular states in a tissue. We introduce NicheFlow, a flow-based generative model that infers the temporal trajectory of cellular microenvironments across sequential spatial slides. By representing local cell neighborhoods as point clouds, NicheFlow jointly models the evolution of cell states and spatial coordinates using optimal transport and Variational Flow Matching. Our [...] Skip to yearly menu bar

## Main Navigation

conference_logo

 NeurIPS 
  + Code of Ethics  

  + Code of Conduct  

  + Create Profile  

  + Journal To Conference Track  

  + Diversity & Inclusion  

  + Proceedings  

  + Future Meetings  

  + Press  

  + Exhibitor Information  

  + Contact NeurIPS  

  + Help/FAQ  

  + Privacy Policy  

  + Downloads
 My Stuff

 Login

Poster  Fri, Dec 5, 2025 • 4:30 PM – 7:30 PM PST

# Modeling Microenvironment Trajectories on Spatial Transcriptomics with NicheFlow

Kristiyan Sakalyan ⋅ Alessandro Palma ⋅ Filippo Guerranti ⋅ Fabian Theis ⋅ Stephan Günnemann

Project Page    [Poster]     [OpenReview]

### Abstract",True
b2_multimodal_integration,B2 — 多模态单细胞数据整合 (Multi-Modal & Cross-Assay Integration),multimodal single-cell integration CITE-seq ATAC-seq geometry NeurIPS ICML 2024 2025,1,Multimodal Spatial Omics: From Data Acquisition to Computational Integration,https://arxiv.org/html/2601.12381v1,arxiv.org,0.9991374,"with single-cell or spatial multi-omics data to jointly perform spatial domain identification and, in some cases, deconvolution [162, 169]. SPOTlight adopts a related NMF-based strategy but incorporates prior knowledge through marker genes from scRNA-seq datasets, yielding seeded latent topics that correspond directly to known cell types . [...] some neuronal layers had strong H3K27ac at certain enhancers correlating with neuronal subtype specification, whereas other regions showed H3K27me3 silencing developmental genes in cells that had terminally differentiated. In another application, spatial CUT&\&Tag on diseased tissue could highlight fibrotic regions with abnormal chromatin states, helping explain pathological gene expression. A key challenge of these methods is data sparsity. Even single-cell ATAC-seq exhibits considerable sparsity, which can be further exacerbated in tissue contexts. Aggregating data across neighboring cells within a local region can help mitigate this limitation  [32, 85, 22]. [...] In the standard ATAC-seq, transposase enzymes cut open chromatin regions and insert sequencing adapters to profile open chromatin. Spatial ATAC-seq introduces these transposases into fixed tissue sections and then uses spatial barcoding (often with a DBiT-seq style microfluidic grid) to index the DNA fragments by location. In this approach, transposase (Tn5) flows across the tissue to fragment DNA in situ, then two sets of barcodes (A and B channels) are applied to the tissue as described for DBiT, so that each cut fragment gets tagged with a location-specific barcode. Sequencing these fragments yields a map of open chromatin regions across the tissue. Spatial ATAC-seq has achieved ∼\sim20μ\mum resolution (roughly single-cell level) in tissue sections.",True
b2_multimodal_integration,B2 — 多模态单细胞数据整合 (Multi-Modal & Cross-Assay Integration),single-cell multi-omics alignment optimal transport manifold 2024 2025 bioinformatics,7,Riemannian Metric Learning for Alignment of Spatial Multiomics,https://www.biorxiv.org/content/10.64898/2025.12.09.693237v1,www.biorxiv.org,0.99895155,"We introduce Manifold Gromov-Wasserstein ( MGW ), a metric-learning framework that exploits the product structure of spatial multiomics to infer modality-",False
b1_sc_qc_noise,B1 — 单细胞数据质控: 噪声建模与稀疏数据处理 (QC: Noise & Sparsity Modeling),scVelo RNA velocity statistical model trajectory inference theory 2024 2025,10,KSRV: a Kernel PCA-Based framework for inferring spatial RNA ...,https://pmc.ncbi.nlm.nih.gov/articles/PMC12634034/,pmc.ncbi.nlm.nih.gov,0.9980882,It enables accurately inference of RNA velocity in spatially resolved tissue at single-cell resolution. KSRV was validated by using 10x Visium data and MERFISH,True
